iter	Logloss
0	0.6408539808
1	0.5977148991
2	0.561530099
3	0.5225834783
4	0.496777532
5	0.468504561
6	0.4451552834
7	0.4259586061
8	0.4095007543
9	0.3947370433
10	0.3801755508
11	0.3700077783
12	0.360728369
13	0.3518703109
14	0.3442618395
15	0.3356748889
16	0.3300122911
17	0.3229968575
18	0.3170478152
19	0.3107930031
20	0.3061679537
21	0.3004972358
22	0.2955137494
23	0.2905848938
24	0.2881224785
25	0.2859469975
26	0.2828391969
27	0.2796273703
28	0.2769901964
29	0.2747338514
30	0.272495804
31	0.2697046269
32	0.2682682149
33	0.266305828
34	0.2637192953
35	0.2620187774
36	0.2600722733
37	0.258547775
38	0.2572770192
39	0.254858073
40	0.2537573846
41	0.2521283179
42	0.2511259492
43	0.2496221759
44	0.247665422
45	0.2458209838
46	0.2442335107
47	0.2436634533
48	0.2425938709
49	0.2417851053
50	0.2411038347
51	0.2398588879
52	0.2384212838
53	0.2373954999
54	0.235735787
55	0.2352665791
56	0.2347501496
57	0.2343883476
58	0.2334430938
59	0.2326660116
60	0.2321019403
61	0.2317651839
62	0.2307554166
63	0.230220874
64	0.2294372631
65	0.228850259
66	0.2285280657
67	0.2282010457
68	0.2273080655
69	0.2265955321
70	0.2262097796
71	0.225156543
72	0.2245893525
73	0.2236083083
74	0.2230347938
75	0.2222383791
76	0.2217390609
77	0.2213696186
78	0.2207284033
79	0.2203011601
80	0.2199680216
81	0.2192478207
82	0.2188068017
83	0.2185591403
84	0.218112994
85	0.2177218566
86	0.2170810624
87	0.2166980167
88	0.2161868196
89	0.2156001145
90	0.2151046536
91	0.2142975273
92	0.213962046
93	0.2136569973
94	0.2131043599
95	0.2128777715
96	0.2122830003
97	0.2120390402
98	0.211573412
99	0.2111180744
100	0.2104346079
101	0.2100688338
102	0.2097902032
103	0.2095075229
104	0.2091710387
105	0.208804325
106	0.2085125173
107	0.2082297154
108	0.2079777773
109	0.2077389272
110	0.207391828
111	0.2070759687
112	0.2069081593
113	0.2066011297
114	0.206283855
115	0.2058314206
116	0.2054761574
117	0.2052230439
118	0.2048879039
119	0.2046853049
120	0.2044036777
121	0.2040193692
122	0.2033703105
123	0.2029438692
124	0.202798565
125	0.202496144
126	0.2021376178
127	0.2019012581
128	0.2015191015
129	0.2012853798
130	0.20085833
131	0.2006488362
132	0.2003350826
133	0.2000978114
134	0.1998826718
135	0.1996438249
136	0.1990207919
137	0.1988966152
138	0.1986485189
139	0.1983451631
140	0.1980608042
141	0.1979296344
142	0.197599449
143	0.1973142831
144	0.1970174876
145	0.1965165302
146	0.1960804594
147	0.1957415325
148	0.1955303911
149	0.1953436731
